,type,Name,year,director,address,lat,lon,borough,complaints.count.freq,Style_Sec,Mat_Prim,Use_Orig,nbhd,imdb,TEL,URL,system
1,landmarks,140-154 W. 72 REALTY,1920,,140 WEST 72 STREET,40.77797454,-73.98015085,Manhattan,13,Queen Anne,Brownstone,"Mixed-use, commercial & residential",,,,,NA
2,landmarks,THOMAS STREET LLC,1900,,90 GRAND STREET,40.72172475,-74.00206038,Manhattan,8,French,Stone,"Commercial, store and warehouse",,,,,NA
3,landmarks,"NAHAR, KAMRUN",1930,,35-16 87 STREET,40.751604,-73.879924,Queens,8,neo-Tudor,Brick,"Outbuilding, garage",,,,,NA
4,landmarks,GROVE EQUITIES,1900,,43 GROVE STREET,40.732829,-74.004272,Manhattan,7,neo-Grec,Flemish-Bond Brick,"Residential, single-family",,,,,NA
5,landmarks,FAIR INTERIORS INC,1922,,37-55 82 STREET,40.749391,-73.884237,Queens,7,neo-Georgian,Brick,Commercial,,,,,NA
6,landmarks,"CHELSEA SQUARE, LLC",1910,,436 WEST 20 STREET,40.745101,-74.003854,Manhattan,6,Italianate,Brick,Residential,,,,,NA
7,landmarks,"CASTRO, PASTORA",1899,,109 NOBLE STREET,40.728583,-73.956181,Brooklyn,5,neo-Grec,Wood Frame,Residential,,,,,NA
8,landmarks,177 WEST 83 ST HSG ET,1900,,177 WEST 83 STREET,40.785645,-73.9760412,Manhattan,5,neo-Grec,Brick,"Residential, multi-family",,,,,NA
9,landmarks,70 LEFFERTS LLC,1899,,70 LEFFERTS PLACE,40.681257,-73.960614,Brooklyn,5,Italianate,Wood Clapboard,"Residential, single family",,,,,NA
10,landmarks,"WILLIAMS, THEODORE S",1931,,384 VANDERBILT AVENUE,40.685709,-73.968364,Brooklyn,5,neo-Grec,Brownstone,Residential,,,,,NA
11,landmarks,18 20 PARK 84TH CORP,1910,,20 EAST 84 STREET,40.7798298,-73.9604648,Manhattan,5,neo-Federal,Flemish-Bond Brick,"Residential, single-family",,,,,NA
12,landmarks,233 BLEECKER STREET L,1920,,15 CARMINE STREET,40.7304748,-74.0025464,Manhattan,5,Italianate,Wood Frame,"Mixed-use, commercial & residential",,,,,NA
13,landmarks,18 20 PARK 84TH CORP,1910,,20 EAST 84 STREET,40.7798298,-73.9604648,Manhattan,5,neo-Federal,Flemish-Bond Brick,"Residential, single-family",,,,,NA
14,landmarks,"SAENNGARM, CHAT CHAI",1930,,35-56 87 STREET,40.751055,-73.879824,Queens,5,neo-Tudor,Brick,"Outbuilding, garage",,,,,NA
15,landmarks,"THE A.J.D. BUILDING,",1910,,427 BROADWAY,40.7199862,-74.0015694,Manhattan,5,French Renaissance,Cast Iron,"Commercial, warehouse",,,,,NA
16,landmarks,CHOLLA 893 LLC,2000,,893 BROADWAY,40.7387424,-73.9899928,Manhattan,5,Modern,Cast Iron,"Mixed-use, commercial & residential",,,,,NA
17,landmarks,"APHIS REALTY, INC.",1910,,676 AVENUE OF THE AMER,40.7416112,-73.9933672,Manhattan,5,Modern,Brick,"Commercial, stores",,,,,NA
18,landmarks,214 VAN BUREN LLC,1899,,33 CLIFTON PLACE,40.687768,-73.963199,Brooklyn,4,neo-Grec,Brownstone,Residential,,,,,NA
19,landmarks,17 EAST 71 STREET LLC,1910,,17 EAST 71 STREET,40.771366,-73.96654,Manhattan,4,Queen Anne (original),Stone,Residential,,,,,NA
20,landmarks,77 BLEECKER ST CORP,1930,,77 BLEECKER STREET,40.72687425,-73.995565,Manhattan,4,Contemporary,Steel Frame,"Commercial, stores",,,,,NA
21,landmarks,EDMOND MARTIN REAL ES,1910,,16 CHRISTOPHER STREET,40.73386525,-74.0005085,Manhattan,4,neo-Grec,Brick,Residential,,,,,NA
